cansat,1_1m,-37.43333333333333,0.9195409482755815,0,-37,-38,-39,-39,-39,-38,-39,-38,-38,-38,-38,-36,-37,-37,-38,-38,-36,-36,-37,-37,-37,-37,-37,-37,-38,-38,-37,-37,-36,-36,-37,-37
lost,1_1m,-37.3,0.9712534856222311,0,-38,-38,-38,-38,-38,-39,-38,-38,-36,-39,-39,-36,-37,-36,-37,-38,-38,-36,-37,-36,-37,-38,-36,-38,-37,-38,-37,-37,-36,-37,-36,-36
cansat,1_5m,-57.233333333333334,2.2313423961572747,-58,-54,-56,-63,-56,-59,-53,-61,-57,-55,-53,-58,-55,-55,-61,-61,-57,-58,-57,-58,-58,-58,-57,-58,-58,-57,-57,-57,-57,-56,-57,-57
lost,1_5m,-56.833333333333336,1.790406533599438,-57,-56,-57,-57,-57,-58,-55,-54,-58,-57,-52,-55,-58,-54,-56,-61,-59,-61,-58,-57,-56,-57,-57,-57,-57,-57,-56,-57,-58,-57,-56,-56
cansat,1_10m,-65.9,0.8306623862918073,-65,-65,-63,-67,-66,-66,-65,-66,-66,-65,-67,-66,-65,-67,-66,-66,-66,-66,-66,-67,-66,-65,-67,-66,-66,-66,-67,-65,-66,-66,-66,-66
lost,1_10m,-65.86666666666666,0.8844332774281067,-66,-66,-65,-64,-65,-67,-66,-64,-66,-67,-67,-66,-67,-64,-66,-65,-66,-66,-65,-67,-66,-66,-66,-66,-66,-65,-66,-66,-67,-66,-67,-67
cansat,1_15m,-73.76666666666667,0.9195409482755816,-73,-73,-75,-73,-74,-74,-74,-72,-73,-73,-74,-72,-73,-73,-73,-72,-74,-74,-74,-73,-74,-75,-74,-74,-75,-74,-75,-75,-74,-75,-75,-75
lost,1_15m,-73.33333333333333,1.164283279771532,-72,-74,-74,-75,-72,-74,-74,-74,-72,-73,-73,-73,-72,-72,-72,-73,-72,-74,-73,-73,-73,-77,-72,-72,-75,-74,-73,-73,-75,-73,-74,-74
cansat,1_20m,-77.93333333333334,0.9637888196533975,-80,-79,-78,-77,-78,-79,-79,-79,-77,-77,-79,-77,-79,-78,-77,-79,-77,-77,-77,-79,-78,-78,-78,-79,-79,-78,-78,-78,-77,-75,-78,-78
lost,1_20m,-77.73333333333333,0.9637888196533975,-80,-77,-77,-78,-77,-77,-78,-79,-79,-77,-77,-78,-79,-79,-78,-77,-77,-78,-75,-77,-79,-78,-78,-78,-77,-80,-77,-78,-77,-78,-78,-78
cansat,1_25m,-76.5,1.52206000757745,-75,-75,-79,-77,-75,-75,-75,-77,-77,-75,-75,-75,-80,-78,-78,-77,-75,-77,-77,-78,-78,-75,-75,-77,-78,-78,-77,-74,-78,-75,-75,-75
lost,1_25m,-75.9,1.491084616423003,-75,-73,-75,-77,-75,-74,-75,-74,-75,-77,-75,-75,-74,-77,-78,-78,-78,-77,-77,-77,-78,-75,-75,-77,-77,-77,-77,-77,-75,-75,-73,-73
cansat,1_30m,-79.6,1.5832456116050557,-77,-77,-78,-80,-78,-75,-81,-81,-81,-78,-79,-79,-80,-78,-80,-80,-80,-79,-81,-80,-81,-80,-79,-79,-80,-80,-83,-80,-79,-83,-79,-79
lost,1_30m,-78.86666666666666,1.2036980056845192,-78,-77,-78,-78,-78,-77,-78,-80,-80,-81,-78,-78,-78,-78,-78,-79,-80,-80,-79,-79,-79,-81,-77,-77,-79,-80,-79,-79,-80,-80,-81,-81
